OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength
896,13,Bolívar,13212,Córdoba,33301.9,22412.6,327.1,3676.3,484,54,9,191,26,1,0,0,24,30,59390.9,327.1,1.29886741,0.04929184,619396122.634573,143276.924037467
897,13,Bolívar,13222,Clemencia,1252.8,4887.7,151.8,1661.8,262,39,11,15,33,2,1,0,1,29,7802.3,151.8,0.68699821,0.00724314,91304331.197702,75311.8122745785
898,13,Bolívar,13244,El Carmen de Bolívar,35632.1,65123.7,3278.8,2708.5,1735,208,273,17,3,29,11,2,143,106,103464.2,3278.8,2.14457552,0.07690599,966836509.486208,235712.345661801
899,13,Bolívar,13248,El Guamo,10200.9,23620.6,124.6,1662.7,633,114,219,2,6,132,2,0,2,37,35484.3,124.6,0.87157705,0.0316359,398113585.67964,97083.4056650245
900,13,Bolívar,13268,El Peñón,5911,17508.6,7350.2,223.1,347,62,0,2,0,0,23,0,2,0,23642.7,7350.2,0.9399916,0.02652746,332696627.245937,104788.819924
901,13,Bolívar,13300,Hatillo de Loba,2571.5,15969.9,492.9,194.1,622,11,30,0,0,9,1,1,17,31,18735.5,492.9,1.14089029,0.01605412,201409895.978692,127133.990315511
902,13,Bolívar,13430,Magangué,3538,29627.9,11490.1,66006.1,2256,171,32,0,0,1,18,2,24,111,99172,11490.1,2.12651478,0.09134025,1146537591.44621,236976.067243636
903,13,Bolívar,13433,Mahates,38486.7,4371.6,338.2,228.8,2201,40,2,6,3,2,26,33,4,78,43087.1,338.2,1.3666075,0.03437763,432811604.340456,151926.066898186
904,13,Bolívar,13440,Margarita,907.4,24414.7,81.5,876.4,922,61,4,5,0,0,28,0,13,23,26198.6,81.5,0.97797467,0.02460086,308695672.234128,108830.058791041
905,13,Bolívar,13442,María La Baja,3549.8,53400.5,1516,993.5,2178,626,65,124,28,7,38,2,68,115,57943.7,1516,1.22351677,0.04448086,559671100.614545,135841.510412714
906,13,Bolívar,13458,Montecristo,121201,79605.3,3860.4,2277.8,550,4,0,0,0,11,45,0,3,0,203084.1,3860.4,3.27509607,0.17120577,2142546999.7342,364819.270650867
907,13,Bolívar,13468,Mompós,7777.4,44156.1,323,3341.7,1065,135,25,122,5,0,8,0,44,54,55275.3,323,1.31471859,0.05117337,642305356.402823,146358.185505174
908,13,Bolívar,13473,Morales,11835.6,109204.5,4750.4,5376,976,29,0,0,0,1,1,0,27,21,126416,4750.4,2.01258566,0.11014618,1379224285.92541,224651.972869681
909,13,Bolívar,13490,Norosí,26064.8,15768.1,4.8,128.3,210,1,19,0,0,0,1,0,0,7,41961.1,4.8,1.18882506,0.03414747,427872580.297699,132105.162882586
910,13,Bolívar,13549,Pinillos,3540.4,31796,144.2,351.6,1225,241,32,130,8,3,125,1,8,35,35688,144.2,2.13842808,0.06196837,777193446.777861,237336.498278752
911,13,Bolívar,13580,Regidor,10255.8,12156.5,52.2,252.5,158,25,2,0,0,0,7,0,1,1,22664.7,52.2,0.79315336,0.01466613,183879123.243556,88532.809108638
912,13,Bolívar,13600,Río Viejo,34328.8,44724.6,3969.5,968.2,564,9,1,7,0,5,4,2,7,25,80021.6,3969.5,2.99805777,0.06976508,874084577.184078,333685.350044526
913,13,Bolívar,13620,San Cristóbal,387.6,1028.2,202.1,2555.3,375,29,0,17,0,0,4,0,4,21,3971.1,202.1,0.29796968,0.00349936,44083090.1713267,33167.5336595245
914,13,Bolívar,13647,San Estanislao,814.4,18517.7,212.2,1083.7,270,30,14,7,20,7,6,0,7,20,20415.7,212.2,0.7135542,0.01771752,223197184.342819,78701.235645703
915,13,Bolívar,13650,San Fernando,615.3,34228.8,867.2,37.9,1302,16,0,3,0,3,1,1,4,0,34882,867.2,1.09746114,0.02663295,334238388.58647,122260.907357671
916,13,Bolívar,13654,San Jacinto,12528.4,28011.1,2608.4,2245.8,1059,117,25,78,8,7,26,1,8,68,42785.2,2608.4,1.32805452,0.03630313,456586706.647177,147487.792356392
917,13,Bolívar,13655,San Jacinto del Cauca,38241.6,9080.4,515.3,6932.6,741,196,6,0,0,4,75,4,15,5,54254.6,515.3,1.77598716,0.04601716,576221987.336776,196618.33540189
918,13,Bolívar,13657,San Juan Nepomuceno,18419.6,44236.4,1100.8,720.8,895,99,4,0,0,0,2,1,3,13,63376.8,1100.8,1.58348074,0.0526643,662615892.319618,176199.658056708
919,13,Bolívar,13667,San Martín de Loba,20603.5,16700.6,673.5,222.4,853,34,0,2,0,1,3,0,3,72,37526.5,673.5,1.37932513,0.03714134,465731936.091749,153550.37047928
920,13,Bolívar,13670,San Pablo,168314.3,28472.9,2583.1,477.9,589,9,57,1,1,0,6,0,5,16,197265.1,2583.1,3.23719905,0.16559298,2069396831.55041,351593.846544289
921,13,Bolívar,13673,Santa Catalina,7126.6,8777.1,240.7,1262.2,690,166,72,0,13,6,5,2,102,36,17165.8,240.7,1.00893148,0.01338205,168729117.552066,112292.180411833
922,13,Bolívar,13683,Santa Rosa,7282.2,8010.7,39.7,424.5,450,46,112,136,0,2,152,0,11,37,15717.3,39.7,0.59843183,0.0126163,158987016.799856,65843.1698391938
923,13,Bolívar,13688,Santa Rosa del Sur,118759.1,107255.9,5416.6,7132.1,1415,48,2,0,0,1,4,4,3,77,233147.1,5416.6,3.30205943,0.19494649,2438209595.12568,365853.836293971
924,13,Bolívar,13744,Simití,63067.4,69562.6,898.9,4640.9,538,34,3,1,0,0,9,1,11,58,137270.9,898.9,2.55172075,0.11053548,1382705813.2442,277848.300357982
925,13,Bolívar,13760,Soplaviento,1141.5,4829.7,722.8,2251.7,277,21,4,1,29,8,2,0,2,8,8222.9,722.8,0.53021821,0.00763575,96183631.6154753,58830.7636322937
926,13,Bolívar,13780,Talaigua Nuevo,519.1,10318.7,13.9,451.1,787,98,12,1,0,26,20,0,4,5,11288.9,13.9,0.95177991,0.0232313,291732752.47307,106446.237123633
927,13,Bolívar,13810,Tiquisio,53123.8,21710.6,363.3,3471.9,418,19,3,0,0,6,7,0,14,31,78306.3,363.3,1.58012326,0.06305042,789967422.537616,175960.015864686
928,13,Bolívar,13836,Turbaco,5146.3,6438.3,5905.2,1993.2,281,45,4,0,0,1,2,1,9,32,13577.9,5905.2,0.67928865,0.01687364,212535126.577277,75121.3790894384
929,13,Bolívar,13838,Turbaná,4341.5,9325.6,2452,3351.1,485,102,4,10,5,1,0,1,84,45,17018.3,2452,0.64348334,0.01265402,159350428.241708,71195.7441074654
930,13,Bolívar,13873,Villanueva,2073,9775,1070,715.3,378,92,124,38,2,0,2,0,34,23,12563.3,1070,0.66353116,0.01214364,153029173.267554,73236.8093941036
931,13,Bolívar,13894,Zambrano,14600.2,8024.1,2501.8,52.8,126,9,7,1,0,27,4,3,4,11,22677.1,2501.8,0.83686697,0.02429627,305488142.282653,91996.1710485149
932,05,Antioquia,05001,Medellín,10242.2,11631.5,2713.9,1040.3,3354,755,92,52,48,43,23,9,69,186,22914,2713.9,1.01898849,0.03037851,378715205.029198,109322.144287465
933,05,Antioquia,05002,Abejorral,14872.5,32079.4,1164.9,2152.5,4243,712,357,133,31,21,25,9,174,163,49104.4,1164.9,1.16393225,0.04139331,515579598.168346,128359.999940165
934,05,Antioquia,05004,Abriaquí,12928.8,13987.5,939.2,1709.3,158,45,11,2,2,0,10,2,29,27,28625.6,939.2,0.80083039,0.02352996,293555531.962523,88935.4364118265
935,05,Antioquia,05021,Alejandría,8236.8,3268.4,57.5,1218.7,813,130,3,1,5,2,9,1,16,22,12724,57.5,0.68601747,0.01038568,129498034.655684,75828.1008165081
936,05,Antioquia,05030,Amagá,1341.1,5895.5,650.5,452.7,1581,269,10,1,5,3,29,1,192,70,7689.3,650.5,0.46904313,0.00678605,84562226.1890739,50882.2392465232
937,05,Antioquia,05031,Amalfi,14493.9,105384.8,57.9,729.2,1798,146,7,6,1,15,13,1,22,22,120607.9,57.9,1.97399526,0.09903841,1236446948.37224,218109.402332042
938,05,Antioquia,05034,Andes,17774.5,25213.3,1001.7,2142.5,3793,137,4,4,2,5,19,3,17,239,45130.3,1001.7,1.07348414,0.03674496,457519597.279612,118530.933033653
939,05,Antioquia,05036,Angelópolis,525.1,7355.3,18,124.4,520,11,0,2,5,3,0,0,5,10,8004.8,18,0.44690357,0.00669629,83453413.4492097,48899.1241423527
940,05,Antioquia,05038,Angostura,7565.1,25403.4,171.3,988.3,1966,386,26,1,1,25,127,8,35,160,33956.8,171.3,0.9113239,0.02597672,324228350.481313,100286.574200839
941,05,Antioquia,05040,Anorí,71014,67398.1,1659,1445.6,1257,84,5,2,8,40,24,0,10,50,139857.7,1659,1.86673271,0.11569164,1444975089.20174,205229.578942618
942,05,Antioquia,05042,Santafé de Antioquia,7767.6,28295.2,11689.6,2349.5,1430,166,17,25,10,18,56,4,36,55,38412.4,11689.6,1.14665049,0.04262674,531678279.752042,125786.756456906
